timestamp,player,skill,rank,level,xp
2026-08-26T01:17:55.800018,Phome1,Crafting,834269,78,1687109
2026-08-26T01:17:55.800020,Phome1,Smithing,1653717,63,390400
2026-08-26T01:17:55.800022,Phome1,Mining,650618,83,2707274
2026-08-26T01:17:55.800026,Phome1,Herblore,1210946,68,655883
2026-08-26T01:17:55.800028,Phome1,Agility,1233791,71,864275
2026-08-26T01:17:55.800030,Phome1,Thieving,735283,77,1477333
2026-08-26T01:17:55.800032,Phome1,Slayer,1689264,62,337178
2026-08-26T01:17:55.800034,Phome1,Farming,503273,92,7014509
2026-08-26T01:17:55.800036,Phome1,Runecraft,1027634,62,340756
2026-08-26T01:17:55.800038,Phome1,Hunter,682004,77,1619973
2026-08-26T01:17:55.800040,Phome1,Construction,952377,72,937077
2026-08-26T01:17:55.800042,Phome1,Sailing,416092,62,348439
2026-08-26T01:17:56.837200,Darallax,Overall,1884392,1336,11597547
2026-08-26T01:17:56.837213,Darallax,Attack,-1,70,758416
2026-08-26T01:17:56.837216,Darallax,Defence,-1,70,738492
2026-08-26T01:17:56.837218,Darallax,Strength,1857502,80,1990806
2026-08-26T01:17:56.837220,Darallax,Hitpoints,-1,76,1441153
2026-08-26T01:17:56.837223,Darallax,Ranged,-1,62,365632
2026-08-26T01:17:56.837225,Darallax,Prayer,-1,50,103335
2026-08-26T01:17:56.837227,Darallax,Magic,-1,70,786534
2026-08-26T01:17:56.837229,Darallax,Cooking,-1,60,276011
2026-08-26T01:17:56.837231,Darallax,Woodcutting,-1,62,348615
2026-08-26T01:17:56.837233,Darallax,Fletching,-1,60,274299
2026-08-26T01:17:56.837235,Darallax,Fishing,-1,58,242705
2026-08-26T01:17:56.837237,Darallax,Firemaking,-1,42,47290
2026-08-26T01:17:56.837239,Darallax,Crafting,1826924,62,361539
2026-08-26T01:17:56.837241,Darallax,Smithing,1808483,60,275801
2026-08-26T01:17:56.837243,Darallax,Mining,1353871,72,904470
2026-08-26T01:17:56.837245,Darallax,Herblore,-1,43,54203
2026-08-26T01:17:56.837252,Darallax,Agility,1251809,71,851772
2026-08-26T01:17:56.837254,Darallax,Thieving,1878974,54,155250
2026-08-26T01:17:56.837256,Darallax,Slayer,-1,50,110039
